state,specialty_clean,payment_type_clean,payment_amount
AK,Advanced Practice Midwife,Other,4180.0
AK,Allergy,Consulting,187.65
AK,Allergy,Food & Beverage,1405.99
AK,Allergy & Immunology,Consulting,490.6
AK,Allergy & Immunology,Education,7.75
AK,Allergy & Immunology,Food & Beverage,7292.97
AK,Allergy & Immunology,Honoraria,61091.0
AK,Allergy & Immunology,Travel,14529.78
AK,Anatomic Pathology & Clinical Pathology,Food & Beverage,171.84
AK,Anesthesiology,Education,2387.6
AK,Anesthesiology,Food & Beverage,15349.789999999999
AK,Anesthesiology,Travel,8002.860000000001
AK,Cardiovascular Disease,Consulting,5170.0
AK,Cardiovascular Disease,Education,69.21
AK,Cardiovascular Disease,Food & Beverage,8193.12
AK,Cardiovascular Disease,Other,23088.0
AK,Cardiovascular Disease,Travel,1808.4299999999998
AK,Child & Adolescent Psychiatry,Food & Beverage,122.05
AK,Chiropractor,Food & Beverage,316.63
AK,Chronic Care,Food & Beverage,37.22
AK,Clinical Cardiac Electrophysiology,Consulting,5900.0
AK,Clinical Cardiac Electrophysiology,Food & Beverage,2093.87
AK,Clinical Cardiac Electrophysiology,Travel,1395.43
AK,Clinical Neurophysiology,Food & Beverage,23.89
AK,Clinical Nurse Specialist,Food & Beverage,41.82
AK,Colon & Rectal Surgery,Food & Beverage,864.93
AK,Community Health,Food & Beverage,43.28
AK,Cornea and External Diseases Specialist,Food & Beverage,259.26
AK,Cornea and External Diseases Specialist,Travel,360.94
AK,Critical Care Medicine,Education,3000.0
AK,Critical Care Medicine,Food & Beverage,720.25
AK,Critical Care Medicine,Travel,2726.59
AK,Dental Public Health,Education,1037.5
AK,Dental Public Health,Food & Beverage,869.6800000000001
AK,Dental Public Health,Gifts,24.5
AK,Dentist,Education,4019.58
AK,Dentist,Entertainment,500.0
AK,Dentist,Food & Beverage,10798.05
AK,Dentist,Gifts,5460.26
AK,Dentist,Other,3323.42
AK,Dentist,Travel,4654.15
AK,Dermatology,Education,324.88
AK,Dermatology,Food & Beverage,17843.86
AK,Diagnostic Radiology,Education,140.0
AK,Diagnostic Radiology,Food & Beverage,2552.94
AK,Emergency Medical Services,Food & Beverage,121.39
AK,Emergency Medicine,Consulting,49250.0
AK,Emergency Medicine,Education,23.04
AK,Emergency Medicine,Food & Beverage,1736.51
AK,Emergency Medicine,Travel,4524.81
AK,"Endocrinology, Diabetes & Metabolism",Education,32.27
AK,"Endocrinology, Diabetes & Metabolism",Food & Beverage,2430.12
AK,Endodontics,Education,1037.5
AK,Endodontics,Entertainment,500.0
AK,Endodontics,Food & Beverage,866.2
AK,Endodontics,Other,43044.479999999996
AK,Facial Plastic Surgery,Food & Beverage,121.87
AK,Family,Consulting,1954.26
AK,Family,Education,1006.9499999999999
AK,Family,Food & Beverage,40678.51
AK,Family,Other,35531.36
AK,Family,Travel,20896.32
AK,Family Health,Food & Beverage,209.1
AK,Family Medicine,Consulting,105.01
AK,Family Medicine,Education,673.99
AK,Family Medicine,Food & Beverage,35100.4
AK,Family Medicine,Other,3350.0
AK,Foot & Ankle Surgery,Education,246.59
AK,Foot & Ankle Surgery,Food & Beverage,3986.5299999999997
AK,Foot & Ankle Surgery,Travel,5141.09
AK,Foot Surgery,Food & Beverage,508.82
AK,Foot and Ankle Surgery,Food & Beverage,417.71999999999997
AK,Gastroenterology,Education,16.11
AK,Gastroenterology,Food & Beverage,7623.62
AK,General Practice,Education,4454.69
AK,General Practice,Entertainment,500.0
AK,General Practice,Food & Beverage,10621.01
AK,General Practice,Gifts,3439.91
AK,General Practice,Other,7965.09
AK,General Practice,Travel,281.09
AK,Gerontology,Education,264.98
AK,Gerontology,Food & Beverage,577.98
AK,Gerontology,Other,6539.32
AK,Gynecologic Oncology,Consulting,5745.0
AK,Gynecologic Oncology,Food & Beverage,950.65
AK,Gynecologic Oncology,Other,4270.0
AK,Gynecologic Oncology,Travel,993.73
AK,Gynecology,Education,1585.0
AK,Gynecology,Food & Beverage,210.64999999999998
AK,Gynecology,Travel,1894.3700000000001
AK,Hand Surgery,Education,636.27
AK,Hand Surgery,Food & Beverage,2539.25
AK,Hand Surgery,Travel,2814.66
AK,Hematology,Food & Beverage,30.11
AK,Hematology & Oncology,Consulting,1650.0
AK,Hematology & Oncology,Education,322.15999999999997
AK,Hematology & Oncology,Food & Beverage,11848.67
AK,Hospitalist,Education,99.99
AK,Hospitalist,Food & Beverage,1186.69
AK,Infectious Disease,Food & Beverage,140.57
AK,Internal Medicine,Consulting,7175.0
AK,Internal Medicine,Education,865.34
AK,Internal Medicine,Food & Beverage,18618.67
AK,Internal Medicine,Travel,764.04
AK,Interventional Cardiology,Education,18.99
AK,Interventional Cardiology,Food & Beverage,2614.7799999999997
AK,Interventional Cardiology,Travel,321.91
AK,Interventional Pain Medicine,Food & Beverage,3789.59
AK,Interventional Pain Medicine,Travel,3895.79
AK,MOHS-Micrographic Surgery,Food & Beverage,1074.86
AK,Maternal & Fetal Medicine,Food & Beverage,15.47
AK,Medical,Consulting,6203.92
AK,Medical,Education,743.9
AK,Medical,Food & Beverage,17979.22
AK,Medical,Other,500.0
AK,Medical,Travel,9857.81
AK,Medical Oncology,Education,95.99
AK,Medical Oncology,Food & Beverage,1502.9099999999999
AK,"Neonatal, Critical Care",Food & Beverage,23.13
AK,Nephrology,Consulting,950.0
AK,Nephrology,Education,19.62
AK,Nephrology,Food & Beverage,4166.38
AK,Nephrology,Honoraria,18450.0
AK,Nephrology,Travel,1392.3
AK,Neurological Surgery,Education,177.7
AK,Neurological Surgery,Food & Beverage,5763.96
AK,Neurological Surgery,Other,2963.54
AK,Neurological Surgery,Travel,4915.57
AK,Neurology,Consulting,3348.0
AK,Neurology,Education,294.41999999999996
AK,Neurology,Food & Beverage,15241.29
AK,Neurology,Other,12300.0
AK,Neurology,Travel,2819.6
AK,Neurology with Special Qualifications in Child Neurology,Education,77.3
AK,Neurology with Special Qualifications in Child Neurology,Food & Beverage,62.150000000000006
AK,Neuromusculoskeletal Medicine & OMM,Food & Beverage,19.38
AK,"Neuromusculoskeletal Medicine, Sports Medicine",Education,46.08
AK,Neuroscience,Food & Beverage,659.2
AK,"Nurse Anesthetist, Certified Registered",Food & Beverage,399.89
AK,Nurse Practitioner,Consulting,2179.0
AK,Nurse Practitioner,Education,693.88
AK,Nurse Practitioner,Food & Beverage,28136.45
AK,Nurse Practitioner,Other,2784.55
AK,Nurse Practitioner,Travel,1849.3600000000001
AK,Obstetrics,Food & Beverage,56.03
AK,Obstetrics & Gynecology,Consulting,25.0
AK,Obstetrics & Gynecology,Education,5240.85
AK,Obstetrics & Gynecology,Food & Beverage,6969.92
AK,Obstetrics & Gynecology,Gifts,22.84
AK,Obstetrics & Gynecology,Travel,6884.93
AK,Occupational Medicine,Food & Beverage,13.1
AK,Ophthalmology,Education,17.84
AK,Ophthalmology,Food & Beverage,5256.42
AK,Ophthalmology,Travel,2145.7
AK,Optometrist,Education,107.03999999999999
AK,Optometrist,Food & Beverage,29719.47
AK,Optometrist,Other,4464.0
AK,Optometrist,Travel,3597.19
AK,Oral & Maxillofacial Surgery,Food & Beverage,612.1
AK,Oral and Maxillofacial Surgery,Education,334.98
AK,Oral and Maxillofacial Surgery,Food & Beverage,2206.63
AK,Oral and Maxillofacial Surgery,Other,4141.26
AK,Orthodontics and Dentofacial Orthopedics,Consulting,25.0
AK,Orthodontics and Dentofacial Orthopedics,Education,48.11
AK,Orthodontics and Dentofacial Orthopedics,Food & Beverage,2361.33
AK,Orthodontics and Dentofacial Orthopedics,Gifts,4.5
AK,Orthodontics and Dentofacial Orthopedics,Travel,607.04
AK,Orthopaedic Surgery,Consulting,9448.41
AK,Orthopaedic Surgery,Education,4892.89
AK,Orthopaedic Surgery,Food & Beverage,16934.83
AK,Orthopaedic Surgery,Honoraria,1500.0
AK,Orthopaedic Surgery,Other,218663.88999999998
AK,Orthopaedic Surgery,Travel,27605.13
AK,Orthopaedic Surgery of the Spine,Education,294.2
AK,Orthopaedic Surgery of the Spine,Food & Beverage,4736.53
AK,Orthopaedic Surgery of the Spine,Other,47478.0
AK,Orthopaedic Surgery of the Spine,Travel,16477.67
AK,Orthopaedic Trauma,Food & Beverage,2311.8
AK,Orthopaedic Trauma,Travel,3676.08
AK,Otolaryngology,Consulting,205.01
AK,Otolaryngology,Food & Beverage,3405.72
AK,Otolaryngology,Travel,5150.03
AK,Otolaryngology/Facial Plastic Surgery,Food & Beverage,621.86
AK,Otolaryngology/Facial Plastic Surgery,Travel,1370.42
AK,Pain Medicine,Education,2387.6
AK,Pain Medicine,Food & Beverage,6995.5199999999995
AK,Pain Medicine,Travel,3422.6
AK,Pediatric Critical Care Medicine,Food & Beverage,450.6
AK,Pediatric Dentistry,Food & Beverage,33.5
AK,Pediatric Dentistry,Gifts,225.0
AK,Pediatric Dermatology,Food & Beverage,154.31
AK,Pediatric Endocrinology,Consulting,500.0
AK,Pediatric Endocrinology,Food & Beverage,414.37
AK,Pediatric Endocrinology,Other,1800.0
AK,Pediatric Gastroenterology,Food & Beverage,314.04
AK,Pediatric Hematology-Oncology,Food & Beverage,332.5
AK,Pediatric Orthopaedic Surgery,Food & Beverage,482.55999999999995
AK,Pediatric Orthopaedic Surgery,Travel,6035.93
AK,Pediatric Pulmonology,Education,18.0
AK,Pediatric Pulmonology,Food & Beverage,2029.4199999999998
AK,Pediatric Pulmonology,Gifts,200.0
AK,Pediatric Pulmonology,Other,6172.0
AK,Pediatric Pulmonology,Travel,2364.14
AK,Pediatric Urology,Food & Beverage,212.51
AK,Pediatrics,Consulting,105.0
AK,Pediatrics,Education,99.0
AK,Pediatrics,Food & Beverage,3141.62
AK,"Pediatrics, Critical Care",Food & Beverage,133.92
AK,Periodontics,Food & Beverage,429.02
AK,Physical Medicine & Rehabilitation,Food & Beverage,190.42000000000002
AK,Physical Medicine & Rehabilitation,Travel,222.66
AK,Physician Assistant,Consulting,8287.42
AK,Physician Assistant,Education,1307.2
AK,Physician Assistant,Food & Beverage,60948.93
AK,Physician Assistant,Other,15799.99
AK,Physician Assistant,Travel,16996.3
AK,Plastic Surgery,Food & Beverage,1385.24
AK,Plastic Surgery,Travel,3491.96
AK,Plastic Surgery within the Head & Neck,Consulting,56177.51
AK,Plastic Surgery within the Head & Neck,Food & Beverage,68.82
AK,Plastic Surgery within the Head & Neck,Travel,1306.81
AK,Plastic and Reconstructive Surgery,Food & Beverage,216.94
AK,Podiatrist,Food & Beverage,598.04
AK,Primary Care,Food & Beverage,1537.12
AK,Primary Care,Travel,137.19
AK,Procedural Dermatology,Food & Beverage,41.43
AK,Prosthodontics,Food & Beverage,17.87
AK,Prosthodontics,Gifts,2705.0
AK,Psychiatric/Mental Health,Consulting,3938.0
AK,Psychiatric/Mental Health,Education,99.99
AK,Psychiatric/Mental Health,Food & Beverage,14234.83
AK,Psychiatric/Mental Health,Other,23628.0
AK,Psychiatric/Mental Health,Travel,4025.41
AK,Psychiatry,Consulting,6375.0
AK,Psychiatry,Food & Beverage,3580.77
AK,Psychiatry,Other,7226.0
AK,Psychiatry,Travel,2015.93
AK,Pulmonary Disease,Education,99.0
AK,Pulmonary Disease,Food & Beverage,1054.4
AK,Radiation Oncology,Food & Beverage,1238.63
AK,Radiation Oncology,Travel,1084.27
AK,Registered Nurse,Food & Beverage,88.5
AK,Rheumatology,Consulting,6600.0
AK,Rheumatology,Education,69.99
AK,Rheumatology,Food & Beverage,7134.96
AK,Rheumatology,Honoraria,115903.1
AK,Rheumatology,Other,22031.25
AK,Rheumatology,Travel,22391.4
AK,Sleep Medicine,Food & Beverage,162.78
AK,Sports Medicine,Food & Beverage,1563.97
AK,Sports Medicine,Travel,896.97
AK,Sports Physician,Food & Beverage,21.29
AK,Surgery,Consulting,250.0
AK,Surgery,Education,15500.0
AK,Surgery,Food & Beverage,7064.6
AK,Surgery,Other,500.0
AK,Surgery,Travel,8003.360000000001
AK,Surgical,Consulting,1200.0
AK,Surgical,Education,197.99
AK,Surgical,Food & Beverage,5252.37
AK,Surgical,Travel,5713.77
AK,Surgical Oncology,Food & Beverage,116.06
AK,Surgical Oncology,Travel,407.92
AK,Thoracic Surgery (Cardiothoracic Vascular Surgery),Education,6000.0
AK,Thoracic Surgery (Cardiothoracic Vascular Surgery),Food & Beverage,2061.91
AK,Thoracic Surgery (Cardiothoracic Vascular Surgery),Travel,354.67
AK,Transplant Surgery,Food & Beverage,21.1
AK,Urogynecology and Reconstructive Pelvic Surgery,Food & Beverage,103.86
AK,Urology,Education,363.09
AK,Urology,Food & Beverage,5362.81
AK,Urology,Travel,2382.65
AK,Vascular & Interventional Radiology,Food & Beverage,221.9
AK,Vascular & Interventional Radiology,Travel,48.11
AK,Vascular Surgery,Food & Beverage,3909.45
AK,Vascular Surgery,Other,21035.0
AK,Vascular Surgery,Travel,1940.2
AK,Women's Health,Food & Beverage,1554.91
AK,Women's Health,Other,7451.610000000001
AL,Acute Care,Consulting,40508.0
AL,Acute Care,Education,2481.7599999999998
AL,Acute Care,Food & Beverage,166009.38
AL,Acute Care,Other,78522.75
AL,Acute Care,Travel,33932.16
AL,Addiction Medicine,Food & Beverage,1355.71
AL,Addiction Medicine,Other,6525.0
AL,Addiction Medicine,Travel,134.28
AL,Addiction Psychiatry,Education,74.99
AL,Addiction Psychiatry,Food & Beverage,454.64
AL,Adolescent Medicine,Consulting,12600.0
AL,Adolescent Medicine,Food & Beverage,2765.64
AL,Adolescent Medicine,Other,3855.46
AL,Adolescent Medicine,Travel,2674.91
AL,Adult Congenital Heart Disease,Food & Beverage,967.8299999999999
AL,Adult Congenital Heart Disease,Travel,1168.16
AL,Adult Health,Consulting,19105.0
AL,Adult Health,Education,1881.07
AL,Adult Health,Food & Beverage,81951.85
AL,Adult Health,Gifts,27.28
AL,Adult Health,Honoraria,832.5
AL,Adult Health,Other,43605.32
AL,Adult Health,Travel,8778.22
AL,Adult Medicine,Consulting,22300.0
AL,Adult Medicine,Education,106.69999999999999
AL,Adult Medicine,Food & Beverage,7810.88
AL,Adult Reconstructive Orthopaedic Surgery,Food & Beverage,2440.0099999999998
AL,Adult Reconstructive Orthopaedic Surgery,Gifts,4.6
AL,Advanced Heart Failure and Transplant Cardiology,Food & Beverage,3024.05
AL,Advanced Heart Failure and Transplant Cardiology,Honoraria,8820.0
AL,Advanced Heart Failure and Transplant Cardiology,Other,49865.0
AL,Advanced Heart Failure and Transplant Cardiology,Travel,972.9499999999999
AL,Advanced Practice Midwife,Food & Beverage,1733.71
AL,Aerospace Medicine,Food & Beverage,27.49
AL,Allergy,Consulting,14833.77
AL,Allergy,Education,64.29
AL,Allergy,Food & Beverage,8504.99
AL,Allergy,Other,44933.39
AL,Allergy,Travel,5151.17
AL,Allergy & Immunology,Consulting,74644.5
AL,Allergy & Immunology,Education,302.43
AL,Allergy & Immunology,Food & Beverage,32363.18
AL,Allergy & Immunology,Honoraria,6686.0
AL,Allergy & Immunology,Other,137586.75
AL,Allergy & Immunology,Research/Grants,800.0
AL,Allergy & Immunology,Travel,21726.87
AL,Anatomic Pathology,Consulting,5525.0
AL,Anatomic Pathology,Food & Beverage,685.71
AL,Anatomic Pathology,Other,1000.0
AL,Anatomic Pathology,Travel,1294.26
AL,Anatomic Pathology & Clinical Pathology,Food & Beverage,4965.53
AL,Anatomic Pathology & Clinical Pathology,Other,2031.0
AL,Anesthesiologist Assistant,Food & Beverage,368.57
AL,Anesthesiology,Consulting,32860.0
AL,Anesthesiology,Education,166.47
AL,Anesthesiology,Food & Beverage,28992.94
AL,Anesthesiology,Other,12362.5
AL,Anesthesiology,Research/Grants,500.0
AL,Anesthesiology,Travel,12526.91
AL,Blood Banking & Transfusion Medicine,Consulting,3600.0
AL,Body Imaging,Food & Beverage,126.32000000000001
AL,Brain Injury Medicine,Food & Beverage,46.989999999999995
AL,Cardiovascular Disease,Consulting,273392.75
AL,Cardiovascular Disease,Education,1360.23
AL,Cardiovascular Disease,Food & Beverage,148131.11
AL,Cardiovascular Disease,Honoraria,725.0
AL,Cardiovascular Disease,Other,251504.75
AL,Cardiovascular Disease,Research/Grants,13560.6
AL,Cardiovascular Disease,Travel,58581.71
AL,Child & Adolescent Psychiatry,Consulting,4760.0
AL,Child & Adolescent Psychiatry,Education,5.17
AL,Child & Adolescent Psychiatry,Food & Beverage,9909.32
AL,Child & Adolescent Psychiatry,Other,19710.0
AL,Child & Adolescent Psychiatry,Travel,1382.36
AL,Chiropractor,Food & Beverage,1360.8700000000001
AL,Chronic Care,Food & Beverage,3845.33
AL,Clinical & Laboratory Immunology,Food & Beverage,50.94
AL,Clinical Cardiac Electrophysiology,Consulting,71688.61
AL,Clinical Cardiac Electrophysiology,Education,14.63
AL,Clinical Cardiac Electrophysiology,Food & Beverage,40938.13
AL,Clinical Cardiac Electrophysiology,Other,92286.55
AL,Clinical Cardiac Electrophysiology,Research/Grants,5000.0
AL,Clinical Cardiac Electrophysiology,Travel,39915.909999999996
AL,Clinical Genetics (M.D.),Consulting,1435.0
AL,Clinical Genetics (M.D.),Education,38.0
AL,Clinical Genetics (M.D.),Food & Beverage,279.64
AL,Clinical Genetics (M.D.),Other,10375.0
AL,Clinical Genetics (M.D.),Travel,1526.3600000000001
AL,Clinical Neurophysiology,Education,16.26
AL,Clinical Neurophysiology,Food & Beverage,2290.69
AL,Clinical Neurophysiology,Travel,636.05
AL,Clinical Nurse Specialist,Food & Beverage,358.35
AL,Clinical Pathology,Food & Beverage,24.81
AL,Clinical Pathology/Laboratory Medicine,Consulting,5000.0
AL,Clinical Pathology/Laboratory Medicine,Food & Beverage,427.37
AL,Colon & Rectal Surgery,Education,24521.0
AL,Colon & Rectal Surgery,Food & Beverage,6744.13
AL,Colon & Rectal Surgery,Gifts,46.25
AL,Colon & Rectal Surgery,Travel,4210.8099999999995
AL,Cornea and External Diseases Specialist,Food & Beverage,212.72
AL,Corneal and Contact Management,Food & Beverage,1095.6399999999999
AL,Critical Care Medicine,Consulting,34754.88
AL,Critical Care Medicine,Education,84.77
AL,Critical Care Medicine,Food & Beverage,9965.78
AL,Critical Care Medicine,Other,4347.79
AL,Critical Care Medicine,Travel,1908.94
AL,Cytopathology,Food & Beverage,146.68
AL,Dental Public Health,Consulting,14500.0
AL,Dental Public Health,Education,41.519999999999996
AL,Dental Public Health,Food & Beverage,2124.73
AL,Dental Public Health,Gifts,112.99
AL,Dentist,Consulting,625.0
AL,Dentist,Education,6883.01
AL,Dentist,Entertainment,1065.02
AL,Dentist,Food & Beverage,39608.53
AL,Dentist,Gifts,16129.57
AL,Dentist,Honoraria,48304.2
AL,Dentist,Other,18239.47
AL,Dentist,Travel,12799.38
AL,Dermatology,Consulting,213286.67
AL,Dermatology,Education,3611.85
AL,Dermatology,Food & Beverage,148866.95
AL,Dermatology,Gifts,53.57
AL,Dermatology,Other,774425.52
AL,Dermatology,Travel,80644.7
AL,Dermatopathology,Consulting,13356.6
AL,Dermatopathology,Education,154.98
AL,Dermatopathology,Food & Beverage,1557.25
AL,Dermatopathology,Other,300.0
AL,Diagnostic Radiology,Consulting,28346.85
AL,Diagnostic Radiology,Food & Beverage,30284.73
AL,Diagnostic Radiology,Honoraria,1000.0
AL,Diagnostic Radiology,Other,48901.15
AL,Diagnostic Radiology,Travel,27955.66
AL,Emergency,Food & Beverage,521.1
AL,Emergency Medical Services,Education,137.01
AL,Emergency Medical Services,Food & Beverage,536.31
AL,Emergency Medicine,Consulting,75283.3
AL,Emergency Medicine,Education,40.61
AL,Emergency Medicine,Food & Beverage,17679.6
AL,Emergency Medicine,Gifts,250.0
AL,Emergency Medicine,Other,6516.0
AL,Emergency Medicine,Research/Grants,10000.0
AL,Emergency Medicine,Travel,2867.36
AL,"Endocrinology, Diabetes & Metabolism",Consulting,56037.5
AL,"Endocrinology, Diabetes & Metabolism",Education,723.1400000000001
AL,"Endocrinology, Diabetes & Metabolism",Food & Beverage,85002.65
AL,"Endocrinology, Diabetes & Metabolism",Gifts,59.4
AL,"Endocrinology, Diabetes & Metabolism",Honoraria,13543.89
AL,"Endocrinology, Diabetes & Metabolism",Other,186085.49
AL,"Endocrinology, Diabetes & Metabolism",Travel,42090.49
AL,Endodontics,Consulting,44468.75
AL,Endodontics,Food & Beverage,4090.94
AL,Endodontics,Gifts,1290.0
AL,Endodontics,Other,89.22
AL,Endodontics,Travel,6471.66
AL,Facial Plastic Surgery,Consulting,400.0
AL,Facial Plastic Surgery,Food & Beverage,3756.7599999999998
AL,Facial Plastic Surgery,Other,9054.7
AL,Family,Consulting,20144.35
AL,Family,Education,14207.3
AL,Family,Entertainment,13.21
AL,Family,Food & Beverage,827909.56
AL,Family,Gifts,314.6
AL,Family,Honoraria,2750.0
AL,Family,Other,110152.98
AL,Family,Travel,50031.39
AL,Family Health,Food & Beverage,1125.96
AL,Family Medicine,Consulting,109194.87
AL,Family Medicine,Education,6739.12
AL,Family Medicine,Entertainment,26.42
AL,Family Medicine,Food & Beverage,499203.61
AL,Family Medicine,Gifts,250.0
AL,Family Medicine,Honoraria,4984.0
AL,Family Medicine,Other,145822.5
AL,Family Medicine,Research/Grants,76250.0
AL,Family Medicine,Travel,14436.14
AL,Foot & Ankle Surgery,Education,280.33
AL,Foot & Ankle Surgery,Food & Beverage,3970.96
AL,Foot & Ankle Surgery,Travel,3184.07
AL,Foot Surgery,Education,174.7
AL,Foot Surgery,Food & Beverage,8205.1
AL,Foot Surgery,Travel,3020.36
AL,Foot and Ankle Surgery,Consulting,85725.0
AL,Foot and Ankle Surgery,Education,174.7
AL,Foot and Ankle Surgery,Food & Beverage,12934.02
AL,Foot and Ankle Surgery,Other,480327.03
AL,Foot and Ankle Surgery,Research/Grants,13242.25
AL,Foot and Ankle Surgery,Travel,18407.58
AL,Forensic Pathology,Food & Beverage,172.17
AL,Forensic Psychiatry,Food & Beverage,1386.8
AL,Gastroenterology,Consulting,161088.87
AL,Gastroenterology,Education,7480.3
AL,Gastroenterology,Food & Beverage,136238.14
AL,Gastroenterology,Gifts,1003.82
AL,Gastroenterology,Honoraria,3700.0
AL,Gastroenterology,Other,321471.5
AL,Gastroenterology,Travel,72788.57
AL,General Practice,Consulting,41107.880000000005
AL,General Practice,Education,15900.25
AL,General Practice,Entertainment,6278.11
AL,General Practice,Food & Beverage,156101.94
AL,General Practice,Gifts,31810.69
AL,General Practice,Honoraria,2240.49
AL,General Practice,Other,364384.74
AL,General Practice,Research/Grants,2651.21
AL,General Practice,Travel,29079.7
AL,Geriatric Medicine,Education,113.62
AL,Geriatric Medicine,Food & Beverage,2132.16
AL,Geriatric Psychiatry,Food & Beverage,646.1800000000001
AL,Gerontology,Consulting,1022.5
AL,Gerontology,Education,514.67
AL,Gerontology,Food & Beverage,34329.34
AL,Gerontology,Other,14415.0
AL,Gerontology,Travel,1008.4300000000001
AL,Glaucoma Specialist,Education,35.68
AL,Glaucoma Specialist,Food & Beverage,502.76
AL,Gynecologic Oncology,Consulting,6555.0
AL,Gynecologic Oncology,Education,1268.08
AL,Gynecologic Oncology,Food & Beverage,9739.02
AL,Gynecologic Oncology,Gifts,64.34
AL,Gynecologic Oncology,Other,29633.0
AL,Gynecologic Oncology,Research/Grants,888.48
AL,Gynecologic Oncology,Travel,13330.32
AL,Gynecology,Consulting,2113.0
AL,Gynecology,Education,1229.8
AL,Gynecology,Food & Beverage,6662.07
AL,Gynecology,Travel,4623.78
AL,Hand Surgery,Consulting,3950.0
AL,Hand Surgery,Education,132.64
AL,Hand Surgery,Food & Beverage,6147.77
AL,Hand Surgery,Other,25639.5
AL,Hand Surgery,Travel,7375.389999999999
AL,Hematology,Food & Beverage,1891.65
AL,Hematology & Oncology,Consulting,241116.64
AL,Hematology & Oncology,Education,5134.18
AL,Hematology & Oncology,Food & Beverage,195460.5
AL,Hematology & Oncology,Honoraria,23568.0
AL,Hematology & Oncology,Other,249611.89
AL,Hematology & Oncology,Research/Grants,84.2
AL,Hematology & Oncology,Travel,48048.27
AL,Hepatology,Food & Beverage,190.26
AL,Hepatology,Honoraria,3000.0
AL,Hepatology,Travel,345.86
AL,Hospice,Food & Beverage,121.82
AL,Hospice and Palliative Medicine,Consulting,109214.32
AL,Hospice and Palliative Medicine,Education,21.0
AL,Hospice and Palliative Medicine,Food & Beverage,178.9
AL,Hospitalist,Food & Beverage,15432.7
AL,Hospitalist,Research/Grants,6060.61
AL,Hospitalist,Travel,3323.46
AL,Infectious Disease,Consulting,66353.04
AL,Infectious Disease,Education,1802.4299999999998
AL,Infectious Disease,Food & Beverage,21911.21
AL,Infectious Disease,Honoraria,817.3
AL,Infectious Disease,Other,99667.8
